,医院名称,年手术台数,当前HC,推广费用,产品A价格,产品A份额,产品B价格,产品B份额,产品C价格,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌,HC敏感度,推广敏感度,价格敏感度,HC下限,产品A均价,产品B均价,产品C均价
11,中型医院2,925,0.1665,5594.4000000000015,800,0,500,60,300,40,0.1665,6713.280000000002,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
12,中型医院20,400,0.07200000000000001,2419.2,800,0,500,60,300,40,0.07200000000000001,2903.0399999999995,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
13,中型医院3,900,0.162,5443.2,800,0,500,60,300,40,0.162,6531.839999999998,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
14,中型医院4,850,0.153,5140.8,800,0,500,60,300,40,0.153,6168.96,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
15,中型医院5,800,0.14400000000000002,4838.4,800,0,500,60,300,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
16,中型医院6,800,0.14400000000000002,4838.4,800,0,500,60,300,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
17,中型医院7,800,0.14400000000000002,4838.4,800,0,500,60,300,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
18,中型医院8,800,0.14400000000000002,4838.4,800,0,500,60,300,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
19,中型医院9,750,0.135,4536.0,800,0,500,60,300,40,0.135,5443.2,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
20,大型医院1,5000,2.5,84000.0,800,0,500,60,300,40,2.5,100800.0,800,500,300,1,1,1,1.2,1.2,0.8,0,600,480,320
21,大型医院10,1500,0.75,25200.0,800,0,500,60,300,40,0.75,30240.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
22,大型医院11,1500,0.75,25200.0,800,0,500,60,300,40,0.75,30240.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
23,大型医院12,1200,0.6,20160.0,800,0,500,60,300,40,0.6,24192.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
24,大型医院13,1200,0.6,20160.0,800,0,500,60,300,40,0.6,24192.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
25,大型医院14,1200,0.6,20160.0,800,0,500,60,300,40,0.6,24192.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
26,大型医院15,1000,0.5,16800.0,800,0,500,60,300,40,0.5,20160.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
27,大型医院16,1000,0.5,16800.0,800,0,500,60,300,40,0.5,20160.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
28,大型医院17,1000,0.5,16800.0,800,0,500,60,300,40,0.5,20160.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
29,大型医院18,1000,0.5,16800.0,800,0,500,60,300,40,0.5,20160.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
30,大型医院19,1000,0.5,16800.0,800,0,500,60,300,40,0.5,20160.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
31,大型医院2,4500,2.25,75600.0,800,0,500,60,300,40,2.25,90720.0,800,500,300,1,1,1,1.2,1.2,0.8,0,600,480,320
32,大型医院3,3000,1.5,50400.0,800,0,500,60,300,40,1.5,60480.0,800,500,300,1,1,1,1.2,1.2,0.8,0,600,480,320
33,大型医院4,2500,1.25,42000.0,800,0,500,60,300,40,1.25,50400.0,800,500,300,1,1,1,1.2,1.2,0.8,0,600,480,320
34,大型医院5,2000,1.0,33600.0,800,0,500,60,300,40,1.0,40320.0,800,500,300,1,1,1,1.2,1.2,0.8,0,600,480,320
35,大型医院6,1500,0.75,25200.0,800,0,500,60,300,40,0.75,30240.0,800,500,300,1,1,1,1.2,1.2,0.8,0,600,480,320
36,大型医院7,1500,0.75,25200.0,800,0,500,60,300,40,0.75,30240.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
37,大型医院8,1500,0.75,25200.0,800,0,500,60,300,40,0.75,30240.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
38,大型医院9,1500,0.75,25200.0,800,0,500,60,300,40,0.75,30240.0,800,500,300,0,0,0,1.2,1.2,0.8,0,600,480,320
39,小型医院1,380,0.0456,1532.16,800,0,500,60,300,40,0.0456,1838.592,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
40,小型医院10,200,0.024,806.4,800,0,500,60,300,40,0.024,967.68,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
41,小型医院11,200,0.024,806.4,800,0,500,60,300,40,0.024,967.68,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
42,小型医院12,200,0.024,806.4,800,0,500,60,300,40,0.024,967.68,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
43,小型医院13,200,0.024,806.4,800,0,500,60,300,40,0.024,967.68,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
44,小型医院14,200,0.024,806.4,800,0,500,60,300,40,0.024,967.68,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
45,小型医院15,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
46,小型医院16,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
47,小型医院17,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
48,小型医院18,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
49,小型医院19,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
50,小型医院2,360,0.0432,1451.5199999999998,800,0,500,60,300,40,0.0432,1741.8239999999994,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
51,小型医院20,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
52,小型医院21,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
53,小型医院22,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
54,小型医院23,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
55,小型医院24,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
56,小型医院25,200,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
57,小型医院3,340,0.0408,1370.88,800,0,500,60,300,40,0.0408,1645.056,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
58,小型医院4,320,0.0384,1290.24,800,0,500,60,300,40,0.0384,1548.2879999999998,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
59,小型医院5,300,0.036000000000000004,1209.6,800,0,500,60,300,40,0.036000000000000004,1451.5199999999998,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
60,小型医院6,280,0.033600000000000005,1128.96,800,0,500,60,300,40,0.033600000000000005,1354.7520000000002,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
61,小型医院7,260,0.0312,1048.32,800,0,500,60,300,40,0.0312,1257.984,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
62,小型医院8,240,0.0288,967.6799999999997,800,0,500,60,300,40,0.0288,1161.2159999999994,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
63,小型医院9,220,0.0264,887.04,800,0,500,60,300,40,0.0264,1064.448,800,500,300,0,0,0,1.0,0.8,1.2,0,600,480,320
64,私立医院1,2500,0.3,10080.0,800,0,500,60,300,40,0.3,12096.0,800,500,300,0,0,0,0.8,0.8,1.2,0,600,480,320
65,私立医院2,2000,0.24,8064.0,800,0,500,60,300,40,0.24,9676.8,800,500,300,0,0,0,0.8,0.8,1.2,0,600,480,320
66,私立医院3,800,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,0.8,0.8,1.2,0,600,480,320
67,私立医院4,500,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,0.8,0.8,1.2,0,600,480,320
68,私立医院5,300,0.0,0.0,800,0,500,60,300,40,0.0,0.0,800,500,300,0,0,0,0.8,0.8,1.2,0,600,480,320
