医院名称,年手术台数,HC敏感度,推广敏感度,价格敏感度,当前HC,HC下限,推广费用,产品A价格,产品A均价,产品A份额,产品B价格,产品B均价,产品B份额,产品C价格,产品C均价,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌
大型医院6,1500,1.2,1.2,0.8,0.75,0,25200.0,800,600,0,500,480,60,300,320,40,0.75,30240.0,800,500,300,1,1,1
大型医院7,1500,1.2,1.2,0.8,0.75,0,25200.0,800,600,0,500,480,60,300,320,40,0.75,30240.0,800,500,300,0,0,0
大型医院8,1500,1.2,1.2,0.8,0.75,0,25200.0,800,600,0,500,480,60,300,320,40,0.75,30240.0,800,500,300,0,0,0
大型医院9,1500,1.2,1.2,0.8,0.75,0,25200.0,800,600,0,500,480,60,300,320,40,0.75,30240.0,800,500,300,0,0,0
小型医院1,380,1.0,0.8,1.2,0.0456,0,1532.16,800,600,0,500,480,60,300,320,40,0.0456,1838.592,800,500,300,0,0,0
小型医院10,200,1.0,0.8,1.2,0.024,0,806.4,800,600,0,500,480,60,300,320,40,0.024,967.68,800,500,300,0,0,0
小型医院11,200,1.0,0.8,1.2,0.024,0,806.4,800,600,0,500,480,60,300,320,40,0.024,967.68,800,500,300,0,0,0
小型医院12,200,1.0,0.8,1.2,0.024,0,806.4,800,600,0,500,480,60,300,320,40,0.024,967.68,800,500,300,0,0,0
小型医院13,200,1.0,0.8,1.2,0.024,0,806.4,800,600,0,500,480,60,300,320,40,0.024,967.68,800,500,300,0,0,0
小型医院14,200,1.0,0.8,1.2,0.024,0,806.4,800,600,0,500,480,60,300,320,40,0.024,967.68,800,500,300,0,0,0
小型医院15,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院16,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院17,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院18,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院19,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院2,360,1.0,0.8,1.2,0.0432,0,1451.5199999999998,800,600,0,500,480,60,300,320,40,0.0432,1741.8239999999994,800,500,300,0,0,0
小型医院20,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院21,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院22,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院23,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院24,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院25,200,1.0,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
小型医院3,340,1.0,0.8,1.2,0.0408,0,1370.88,800,600,0,500,480,60,300,320,40,0.0408,1645.056,800,500,300,0,0,0
小型医院4,320,1.0,0.8,1.2,0.0384,0,1290.24,800,600,0,500,480,60,300,320,40,0.0384,1548.2879999999998,800,500,300,0,0,0
小型医院5,300,1.0,0.8,1.2,0.036000000000000004,0,1209.6,800,600,0,500,480,60,300,320,40,0.036000000000000004,1451.5199999999998,800,500,300,0,0,0
小型医院6,280,1.0,0.8,1.2,0.033600000000000005,0,1128.96,800,600,0,500,480,60,300,320,40,0.033600000000000005,1354.7520000000004,800,500,300,0,0,0
小型医院7,260,1.0,0.8,1.2,0.0312,0,1048.32,800,600,0,500,480,60,300,320,40,0.0312,1257.984,800,500,300,0,0,0
小型医院8,240,1.0,0.8,1.2,0.0288,0,967.6799999999997,800,600,0,500,480,60,300,320,40,0.0288,1161.2159999999994,800,500,300,0,0,0
小型医院9,220,1.0,0.8,1.2,0.0264,0,887.04,800,600,0,500,480,60,300,320,40,0.0264,1064.448,800,500,300,0,0,0
私立医院1,2500,0.8,0.8,1.2,0.3,0,10080.0,800,600,0,500,480,60,300,320,40,0.3,12096.0,800,500,300,0,0,0
私立医院2,2000,0.8,0.8,1.2,0.24,0,8064.0,800,600,0,500,480,60,300,320,40,0.24,9676.8,800,500,300,0,0,0
私立医院3,800,0.8,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
私立医院4,500,0.8,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
私立医院5,300,0.8,0.8,1.2,0.0,0,0.0,800,600,0,500,480,60,300,320,40,0.0,0.0,800,500,300,0,0,0
